hpirank,country,year,iso,yearcode,continent,populationthousands,lifeexpectancy,ladderwellbeing,ecofootprint,hpi,biocapacity,gdp
94,Afghanistan,2015,AFG,2015AFG,6,34413.603,63.4,3.982854605,0.705662883,40.10080812,1.61,2068.265904
48,Albania,2015,ALB,2015ALB,7,2890.524,78,4.606650829,2.041462861,47.57418049,1.61,11916.42231
131,United Arab Emirates,2015,ARE,2015ARE,4,9262.896,77.3,6.568397522,9.535821061,32.35232144,1.61,65218.79227
21,Argentina,2015,ARG,2015ARG,1,43075.416,76.1,6.69713068,3.603949653,51.43833804,1.61,23933.88661
72,Armenia,2015,ARM,2015ARM,7,2925.559,74.5,4.34831953,1.937085317,43.89880496,1.61,11321.35576
49,Australia,2015,AUS,2015AUS,2,23932.499,82.8,7.309060574,6.304403015,47.56684669,1.61,47784.17848
52,Austria,2015,AUT,2015AUT,3,8678.667,81.2,7.07644701,5.864231182,47.03133872,1.61,52966.70248
53,Azerbaijan,2015,AZE,2015AZE,7,9622.741,72.3,5.146774769,2.167163086,46.52453921,1.61,14853.91055
132,Burundi,2015,BDI,2015BDI,5,10160.034,60.1,3.122222066,0.631616718,32.24339336,1.61,825.2059856
65,Belgium,2015,BEL,2015BEL,3,11287.931,81,6.904219151,6.245225383,44.62783153,1.61,49613.3651
130,Benin,2015,BEN,2015BEN,5,10575.962,60.6,3.624664307,1.329072738,32.71230513,1.61,2945.973006
102,Burkina Faso,2015,BFA,2015BFA,5,18110.616,59.9,4.418930054,1.171624216,37.83133399,1.61,1925.331225
29,Bangladesh,2015,BGD,2015BGD,6,156256.287,71.5,4.633473873,0.856500731,50.29627986,1.61,3700.111081
93,Bulgaria,2015,BGR,2015BGR,7,7199.739,74.6,4.865401268,3.40871584,40.43299082,1.61,19682.79943
111,Bahrain,2015,BHR,2015BHR,4,1371.853,76.8,6.00737524,6.687148581,36.54810202,1.61,48110.80433
74,Bosnia and Herzegovina,2015,BIH,2015BIH,7,3429.362,76.9,5.117177963,3.362356835,43.60700492,1.61,12671.00801
84,Belarus,2015,BLR,2015BLR,7,9439.424,73.7,5.718907833,4.003956383,42.31306114,1.61,18307.51967
66,Bolivia,2015,BOL,2015BOL,1,10869.732,70.3,5.834329128,3.124304343,44.48356829,1.61,7984.413455
12,Brazil,2015,BRA,2015BRA,1,204471.759,75,6.546896935,2.781374399,54.19507017,1.61,15059.23437
118,Bhutan,2015,BTN,2015BTN,6,727.885,70.4,5.082128525,4.476071522,35.20787353,1.61,10086.19751
128,Botswana,2015,BWA,2015BWA,5,2120.716,67.3,3.761964798,2.495548601,33.07775983,1.61,16714.39782
,Central African Republic,2015,CAF,2015CAF,5,4493.171,50.9,,1.133873961,,1.61,852.7494264
85,Canada,2015,CAN,2015CAN,2,36026.668,82,7.412772655,7.921993139,42.20680019,1.61,47629.51205
7,Switzerland,2015,CHE,2015CHE,3,8296.775,83.1,7.572136879,4.689625556,56.25750342,1.61,65936.62603
27,Chile,2015,CHL,2015CHL,1,17969.356,79.6,6.532749653,4.10930268,50.49039653,1.61,24516.83689
80,China,2015,CHN,2015CHN,8,1406847.868,75.9,5.303877831,3.613343562,42.9910151,1.61,12691.82155
120,Cote d'Ivoire,2015,CIV,2015CIV,5,23226.148,56.1,4.445038795,1.234552189,34.81490026,1.61,4417.151166
96,Cameroon,2015,CMR,2015CMR,5,23298.376,57.6,5.037964821,1.286020207,39.17658912,1.61,3458.6939
113,Congo (Kinshasa),2015,COD,2015COD,5,76244.532,59.3,3.902741671,0.808555575,35.94450865,1.61,1065.24241
83,Congo (Brazzaville),2015,COG,2015COG,5,4856.093,63.1,4.690830231,1.079378685,42.54468175,1.61,5252.154163
2,Colombia,2015,COL,2015COL,1,47520.667,76.5,6.387571812,1.96862671,59.65478682,1.61,14143.70357
,Comoros,2015,COM,2015COM,5,777.435,63.5,,0.988838745,,1.61,2959.539971
1,Costa Rica,2015,CRI,2015CRI,1,4847.805,79.6,6.854004383,2.519102684,61.7462735,1.61,18625.00494
47,Cyprus,2015,CYP,2015CYP,3,1160.987,80.3,5.439161301,3.415136344,47.60420644,1.61,34375.56372
68,Czech Republic,2015,CZE,2015CZE,7,10601.39,78.7,6.608017445,5.504941053,44.39500336,1.61,36283.91103
25,Germany,2015,DEU,2015DEU,3,81787.411,80.8,7.037137508,4.864903075,50.7113199,1.61,51247.06555
69,Denmark,2015,DNK,2015DNK,3,5688.695,80.5,7.514424801,7.145140815,44.20832842,1.61,53061.54437
30,Dominican Republic,2015,DOM,2015DOM,1,10281.675,73.2,5.061862469,1.633445779,49.72229954,1.61,15328.35206
19,Algeria,2015,DZA,2015DZA,4,39728.02,76.1,5.847876072,2.516409986,52.05948199,1.61,11696.96376
6,Ecuador,2015,ECU,2015ECU,1,16212.022,76.1,5.964075089,1.904908167,56.73102,1.61,11896.37663
63,Egypt,2015,EGY,2015EGY,4,92442.549,71.3,4.762538433,1.875143286,44.82085516,1.61,10570.44546
17,Spain,2015,ESP,2015ESP,3,46671.919,83,6.380663395,3.929249872,52.84710679,1.61,37496.42147
122,Estonia,2015,EST,2015EST,7,1315.33,77.8,5.628908634,7.027994729,34.42629032,1.61,31246.23394
76,Ethiopia,2015,ETH,2015ETH,5,100835.453,65,4.573154926,1.059856419,43.36953047,1.61,1779.084023
34,Finland,2015,FIN,2015FIN,3,5481.128,81.2,7.447925568,5.769722671,49.33257044,1.61,45108.9916
39,France,2015,FRA,2015FRA,3,64453.194,82.2,6.357625008,4.662123295,48.6826246,1.61,43484.23872
108,Gabon,2015,GAB,2015GAB,5,1947.69,64.9,4.66101265,2.395218511,37.21436962,1.61,15510.0708
32,United Kingdom,2015,GBR,2015GBR,3,65860.149,81.1,6.515445232,4.543905349,49.39438329,1.61,44893.73978
91,Georgia,2015,GEO,2015GEO,7,4024.18,73,4.121940613,1.964982486,41.19047581,1.61,12605.14007
126,Ghana,2015,GHA,2015GHA,5,27849.203,62.8,3.985916138,2.001901143,33.53668329,1.61,4670.431623
135,Guinea,2015,GIN,2015GIN,5,11432.096,59.6,3.504693508,1.560901579,30.41397624,1.61,2087.784046
59,Greece,2015,GRC,2015GRC,3,10659.737,81.5,5.622519016,4.164361203,46.06999201,1.61,28678.88087
4,Guatemala,2015,GTM,2015GTM,1,16252.425,73.3,6.464986801,1.841373041,58.29211188,1.61,8125.364862
,Hong Kong,2015,HKG,2015HKG,8,7185.992,84,5.478235722,,,1.61,57215.9704
31,Honduras,2015,HND,2015HND,1,9112.904,74.5,4.845436573,1.586166564,49.45467831,1.61,5283.409956
79,Croatia,2015,HRV,2015HRV,7,4232.874,77.9,5.205438137,3.739903864,43.12976486,1.61,24640.85097
110,Haiti,2015,HTI,2015HTI,1,10695.54,62.5,3.569762468,0.648546238,36.87488828,1.61,2941.815531
71,Hungary,2015,HUN,2015HUN,7,9777.925,76,5.34438324,3.44843684,44.02126767,1.61,27587.13548
46,Indonesia,2015,IDN,2015IDN,8,258383.257,70.8,5.04279995,1.608902514,47.8746162,1.61,10149.60391
70,India,2015,IND,2015IND,6,1310152.392,68.6,4.342079163,1.132968675,44.10126332,1.61,5454.347104
38,Ireland,2015,IRL,2015IRL,3,4652.42,81.3,6.830125332,5.115699003,48.80178696,1.61,71173.51565
89,Iran,2015,IRN,2015IRN,4,78492.208,75.8,4.749955654,3.200017713,41.36126242,1.61,12698.10807
82,Iraq,2015,IRQ,2015IRQ,4,35572.269,69.9,4.493377209,1.771564034,42.56272307,1.61,10310.68002
,Iceland,2015,ISL,2015ISL,3,330.237,82.5,7.498070717,,,1.61,51471.02158
40,Israel,2015,ISR,2015ISR,4,7978.496,82.3,7.07941103,5.665343436,48.53490883,1.61,37687.74748
50,Italy,2015,ITA,2015ITA,3,60578.489,82.8,5.847683907,4.3765207,47.31775428,1.61,40376.35073
11,Jamaica,2015,JAM,2015JAM,1,2891.024,74.1,5.5036122,1.520201786,54.37250794,1.61,9470.797195
23,Jordan,2015,JOR,2015JOR,4,9266.573,74.1,5.404593468,1.893776444,51.22810441,1.61,10145.83449
44,Japan,2015,JPN,2015JPN,8,127985.139,83.9,5.879684448,4.437556634,47.93934159,1.61,39900.75492
116,Kazakhstan,2015,KAZ,2015KAZ,7,17572.01,71.3,5.949995041,5.882587608,35.56350402,1.61,24290.41763
88,Kenya,2015,KEN,2015KEN,5,47878.339,64.8,4.357617855,1.057958759,41.76008859,1.61,3824.759543
54,Kyrgyzstan,2015,KGZ,2015KGZ,7,5959.126,70.9,4.905375957,1.736587192,46.26285961,1.61,4805.141092
86,Cambodia,2015,KHM,2015KHM,8,15521.435,68.6,4.162164688,1.281823523,41.98964735,1.61,3543.703553
92,South Korea,2015,KOR,2015KOR,8,50823.087,82.1,5.780211449,5.797080901,41.0529808,1.61,38974.0041
133,Kuwait,2015,KWT,2015KWT,4,3835.588,75.1,6.146031857,8.436236055,31.98476069,1.61,54834.25119
,Laos,2015,LAO,2015LAO,8,6741.16,66.5,,1.74692341,,1.61,6543.666806
62,Lebanon,2015,LBN,2015LBN,4,6532.681,78.8,5.171971321,3.406617642,44.96997611,1.61,16299.21525
138,Liberia,2015,LBR,2015LBR,5,4472.229,62.3,2.701591253,1.17641039,28.5885113,1.61,1580.478874
90,Libya,2015,LBY,2015LBY,4,6418.315,72.1,5.615404606,3.88207529,41.19857575,1.61,11022.42921
33,Sri Lanka,2015,LKA,2015LKA,6,20908.024,76.3,4.611606598,1.540621456,49.35841678,1.61,11890.51618
,Lesotho,2015,LSO,2015LSO,5,2059.011,51,,1.243638624,,1.61,2727.120651
103,Lithuania,2015,LTU,2015LTU,7,2931.872,74.9,5.711378098,5.461260085,37.75359151,1.61,30846.43781
137,Luxembourg,2015,LUX,2015LUX,3,566.741,81.6,6.701571465,12.75793434,29.01207818,1.61,110798.7362
112,Latvia,2015,LVA,2015LVA,7,1997.675,74.7,5.880597591,6.16647606,36.31080676,1.61,26706.26276
22,Morocco,2015,MAR,2015MAR,4,34663.608,75.7,5.163156986,1.789557021,51.40795506,1.61,7129.68627
8,Moldova,2015,MDA,2015MDA,7,4070.705,71.5,6.017472267,1.530720247,55.76270768,1.61,10360.82959
106,Madagascar,2015,MDG,2015MDG,5,24234.08,65.5,3.592514038,0.927791747,37.70188054,1.61,1546.766536
14,Mexico,2015,MEX,2015MEX,1,121858.251,74.9,6.236287117,2.531891089,53.59353453,1.61,19332.07427
81,North Macedonia,2015,MKD,2015MKD,7,2079.335,75.4,4.975589752,3.157434727,42.68560487,1.61,15121.12307
